path,label,is_franken,plate,index,label_idx
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/d60/d60_18.jpg,D60,False,-1,-1,29
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/x7/x7_21.jpg,X7,False,-1,-1,161
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/i9/i9_249.png,I9,False,-1,-1,68
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/m17/m17_337.png,M17,False,-1,-1,73
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/n33/n33_51.png,N33,False,-1,-1,92
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/x1/x1_190.png,X1,False,-1,-1,160
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/y1/y1_49.png,Y1,False,-1,-1,163
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/g36/g36_7.jpg,G36,False,-1,-1,54
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/h6/h6_11.png,H6,False,-1,-1,63
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/v29/v29_4.png,V29,False,-1,-1,143
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/o1/o1_19.png,O1,False,-1,-1,100
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/g35/050049_g35.png,G35,True,5,49,53
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/d4/d4_227.png,D4,False,-1,-1,20
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/l2/l2_18.png,L2,False,-1,-1,70
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/n35/210115_n35.png,N35,True,21,115,94
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/d58/d58_113.jpg,D58,False,-1,-1,28
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/o34/o34_45.png,O34,False,-1,-1,103
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/r14/r14_22.png,R14,False,-1,-1,115
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/s29/050157_s29.png,S29,True,5,157,124
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/x1/x1_254.png,X1,False,-1,-1,160
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/q3/q3_129.png,Q3,False,-1,-1,113
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/q1/q1_123.png,Q1,False,-1,-1,111
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/u1/u1_11.png,U1,False,-1,-1,132
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/v31/v31_63.jpg,V31,False,-1,-1,145
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/e34/200149_e34.png,E34,True,20,149,34
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/v28/v28_128.png,V28,False,-1,-1,142
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/d36/390372_d36.png,D36,True,39,372,17
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/n35/n35_363.png,N35,False,-1,-1,94
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/x1/x1_246.png,X1,False,-1,-1,160
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/r8/r8_134.png,R8,False,-1,-1,118
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/s29/s29_100.png,S29,False,-1,-1,124
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/v28/v28_4.png,V28,False,-1,-1,142
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/d40/d40_36.png,D40,False,-1,-1,21
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/m17/050147_m17.png,M17,True,5,147,73
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/q1/q1_60.png,Q1,False,-1,-1,111
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/o4/o4_34.png,O4,False,-1,-1,104
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/d21/d21_345.png,D21,False,-1,-1,14
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/e34/210058_e34.png,E34,True,21,58,34
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/m23/m23_156.png,M23,False,-1,-1,78
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/o1/o1_127.jpg,O1,False,-1,-1,100
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/i9/200170_i9.png,I9,True,20,170,68
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/d4/d4_56.jpg,D4,False,-1,-1,20
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/e34/230320_e34.png,E34,True,23,320,34
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/d36/200324_d36.png,D36,True,20,324,17
/kaggle/input/datasets/maryemmahmood/glyph2025/Glyph2025/n35/210204_n35.png,N35,True,21,204,94
